"Date","Price","Open","High","Low","Vol.","Change %"
"07-10-2022","80.6750","80.3200","80.8660","80.1530","84.21K","0.41%"
"06-10-2022","80.3450","80.6270","81.3050","80.3040","93.33K","-0.40%"
"05-10-2022","80.6680","81.3210","81.3700","80.2460","91.44K","-0.79%"
"04-10-2022","81.3130","80.0680","81.4250","79.9470","90.99K","1.57%"
"03-10-2022","80.0600","79.8630","80.4170","79.7330","101.30K","0.24%"
"30-09-2022","79.8710","79.9540","80.3710","79.2170","100.61K","-0.10%"
"29-09-2022","79.9540","79.2320","79.9540","78.7770","102.83K","0.90%"
"28-09-2022","79.2410","78.3710","79.5350","77.9630","109.66K","1.11%"
"27-09-2022","78.3710","78.4110","78.6800","78.1070","111.70K","-0.04%"
"26-09-2022","78.4030","78.6830","79.1010","77.7160","116.21K","-0.42%"
"23-09-2022","78.7310","79.7180","79.8390","78.4550","98.86K","-1.20%"
"22-09-2022","79.6850","78.6050","79.9520","78.3650","112.12K","1.39%"
"21-09-2022","78.5890","79.5120","79.6060","78.5090","94.75K","-1.15%"
"20-09-2022","79.5040","79.8680","80.0910","79.3550","79.56K","-0.45%"
"19-09-2022","79.8600","79.7660","79.9170","79.3570","69.47K","0.07%"
"16-09-2022","79.8060","79.8310","79.9350","79.3090","79.54K","-0.04%"
"15-09-2022","79.8390","79.2480","79.9190","79.1760","77.08K","0.69%"
"14-09-2022","79.2880","79.3380","79.6330","79.1530","94.66K","-0.04%"
"13-09-2022","79.3220","80.2940","80.5900","79.2910","85.29K","-1.20%"
"12-09-2022","80.2860","80.2560","81.1140","80.0970","69.30K","0.43%"
"09-09-2022","79.9460","79.6430","80.4380","79.6110","83.82K","0.40%"
"08-09-2022","79.6270","79.6220","79.8980","79.1820","94.36K","0.00%"
"07-09-2022","79.6300","79.0870","79.7330","78.8590","89.00K","0.68%"
"06-09-2022","79.0950","79.1930","79.7780","78.7150","107.48K","-0.13%"
"05-09-2022","79.2010","79.3020","79.3820","78.8550","72.49K","-0.16%"
"02-09-2022","79.3260","79.2270","80.0430","79.2110","74.99K","0.12%"
